EMSID,Heat Wave
310162,12.58730491
310177,13.4710689
310179,19.55757348
450307,22.0244217
550502,10.72531213
605008,12.92538896
E206271,12.3100893
E207417,10.26690066
E207418,13.71152429
E207723,13.70097916
E209177,11.18819037
E209178,13.14135098
E216670,10.00833333
E220217,11.24166667
E220891,13.42723066
E222520,13.65168867
E222778,13.46666667
E223615,7.691666667
E223616,11.28571429
E223756,12.45746071
E225267,12.07468876
E227431,10.72815534
E229797,15.43333333
E231866,15.18333333
E232244,12.56389992
E232246,11.49895124
E234670,9.781512605
E238212,13.54139304
E240337,12.38655462
E249492,10.3496059
E263701,9.792335542
E269223,14.475
E271963,19.28460234
E273483,9.4333441
E275843,13.27006055
E282711,8.649122807
E283549,9.596982798
E285829,12.03389831
E286369,10.86107593
E289309,13.34345301
E292149,9.581218758
E293810,13.38196998
E304570,14.1693782
M107004,10.32105338
